Date,Open,High,Low,Close,Adj Close,Volume
2012-01-05,222,223.350006,220.149994,221.824997,207.658463,3380606
2012-01-06,220.5,228.574997,219.475006,226.649994,212.175323,3977222
2012-01-09,225.949997,228.550003,223,227.850006,213.298706,4231968
2012-01-10,230,231.149994,228,229.850006,215.170959,4491386
2012-01-11,230.25,232,227.5,231.324997,216.551788,3859556
2012-01-12,230.850006,234.550003,230.600006,233.324997,218.424057,3987722
2012-01-13,235,236.524994,230.524994,234.800003,219.804825,3690842
2012-01-16,233.399994,233.925003,229.125,230.25,215.545425,3191710
2012-01-17,231.949997,234.5,231.5,234.199997,219.243134,3661008
2012-01-18,236.449997,242.699997,234.800003,240.949997,225.562057,10068622
2012-01-19,243,245.125,240.149994,243.399994,227.855621,8421088
2012-01-20,245,246.725006,240.225006,245.274994,229.610855,7195130
2012-01-23,243,243.875,240.449997,242,226.545013,3766864
2012-01-24,242.625,246.550003,240.274994,244.399994,228.791733,7531976
2012-01-25,245.125,246.5,242.875,245.100006,229.447067,7409550
2012-01-27,251.949997,252,239.824997,242.100006,226.638641,7438818
2012-01-30,241.475006,241.5,236.5,239.524994,224.228104,4987508
2012-01-31,241.75,247.5,239.925003,246.050003,230.33638,5326924
2012-02-01,247.25,249.850006,240.675003,248.574997,232.700089,6010298
2012-02-02,249.5,250,245.649994,248.949997,233.051178,11420854
2012-02-03,248.75,254,247.625,253.125,236.959549,7457502
2012-02-06,255,258,250,253.850006,237.638245,8719312
2012-02-07,257,257.700012,254,254.649994,238.387131,6037854
2012-02-08,255.350006,258.899994,251.375,254.225006,237.989304,6930574
2012-02-09,252.850006,262.975006,252.824997,261.274994,244.58902,8680512
2012-02-10,261.399994,262.825012,257,258.75,242.225311,5757586
2012-02-13,259.325012,262.5,257.950012,260.975006,244.308212,7307162
2012-02-14,261.25,261.899994,257.524994,258.950012,242.412537,6557414
2012-02-15,260.25,267.450012,258.625,266.524994,249.503738,9689792
2012-02-16,265.5,268.924988,261.625,263.225006,246.414551,4062132
2012-02-17,265.625,266.5,260.049988,264.149994,247.280457,7109824
2012-02-21,263,266.75,260.25,266.024994,249.035675,7415568
2012-02-22,265,269.450012,263.325012,265.725006,248.754852,6961554
2012-02-23,263.600006,267.975006,263.600006,266.575012,249.550613,8547874
2012-02-24,263.600006,267.700012,257.674988,262.325012,245.572021,8190084
2012-02-27,263.450012,265.725006,256.075012,257.799988,241.335938,7660646
2012-02-28,259.625,266.700012,256.600006,265.25,248.310196,7400574
2012-02-29,266.950012,269.950012,256.674988,258.549988,242.038071,9994318
2012-03-01,258.5,261.149994,252.649994,257,240.587067,6099246
2012-03-02,257,262.5,253.875,259.375,242.810394,4058348
2012-03-05,260,260.475006,252.774994,255.475006,239.159485,5025686
2012-03-06,254.899994,260.5,251.625,253.699997,237.497833,5798594
2012-03-07,253.425003,259,248.774994,257.825012,241.359421,3788818
2012-03-09,261,263.5,259.825012,261.600006,244.893311,4657522
2012-03-12,267,267.25,258.5,259.475006,242.904037,5608692
2012-03-13,261.5,263.75,260.174988,262.200012,245.454987,5539714
2012-03-14,264.049988,265,260.725006,264.100006,247.233658,5860562
2012-03-15,264,265,254.524994,255.399994,239.089233,7469598
2012-03-16,255,262.450012,252.5,253.925003,237.708435,6405304
2012-03-19,255.024994,255.024994,247.550003,249.425003,233.495834,7649884
2012-03-20,248,255.425003,246.5,252.699997,236.561676,3162136
2012-03-21,251.5,258.924988,251.5,257.825012,241.359421,6010786
2012-03-22,256.950012,261.200012,250.050003,252.125,236.023438,5640032
2012-03-23,254.75,259.375,250.475006,256.975006,240.56366,4023582
2012-03-26,256.75,258.25,252.824997,255.824997,239.487122,4916458
2012-03-27,257.5,260.899994,256,259.424988,242.857193,5928676
2012-03-28,259.25,259.25,255.024994,256.725006,240.329636,4349746
2012-03-29,254,257.049988,252.5,255.050003,238.761597,8112558
2012-03-30,256,261.924988,254.875,259.924988,243.325287,5592488
2012-04-02,259,264.975006,258.049988,264.174988,247.303864,2765466
2012-04-03,266.5,268.200012,264,265.100006,248.169754,6460406
2012-04-04,262.625,264.5,262.200012,263.274994,246.461334,2087538
2012-04-09,261.875,263.149994,260,260.875,244.214584,2518370
2012-04-10,261.700012,263,257.924988,262.424988,245.665558,2917036
2012-04-11,260.924988,265.475006,258.549988,263.225006,246.414551,3731624
2012-04-12,262.5,267.25,262.149994,265.200012,248.263412,6051644
2012-04-13,268.200012,268.875,261.950012,264.674988,247.771866,4916714
2012-04-16,264.450012,265.5,262.049988,264.875,247.959122,8698042
2012-04-17,266,267.950012,260.549988,265.125,248.193161,7832904
2012-04-18,266.5,269.950012,266.5,268.825012,251.656876,6000142
2012-04-19,270,277.799988,268.600006,277.024994,259.333191,8183338
2012-04-20,276.125,279,273.225006,275.549988,257.952393,7862550
2012-04-23,275.975006,278,271.649994,272.674988,255.260986,4218824
2012-04-24,273.049988,273.25,269.700012,270.924988,253.622711,4380390
2012-04-25,272,274.75,269,273.325012,255.869492,5389194
2012-04-26,272.5,274.975006,269.5,270.25,252.990875,4669476
2012-04-27,271,273,267.100006,270.575012,253.295059,2274510
2012-04-30,271.899994,274.5,270.174988,271.25,253.927032,3019510
2012-05-02,270.350006,275.5,270.350006,274.950012,257.390717,4489174
2012-05-03,272.75,279,272.725006,277.024994,259.333191,6857274
2012-05-04,275.600006,276.850006,267.325012,268.75,251.586655,6175944
2012-05-07,265.950012,267.274994,258.200012,266.125,249.129318,8356344
2012-05-08,266.450012,268.200012,256.625,257.674988,241.218964,5641540
2012-05-09,256.850006,261.299988,252.699997,256.325012,239.95517,7511996
2012-05-10,255.524994,261.450012,255,258.75,242.225311,6042190
2012-05-11,256.625,260,254.100006,255.274994,238.972198,4025042
2012-05-14,255.375,255.899994,247.024994,250.274994,234.291534,5517424
2012-05-15,248,252.225006,248,249.550003,233.612823,4009732
2012-05-16,247,249.350006,243,247.600006,231.787399,8480436
2012-05-17,248.5,253.25,247.5,248.899994,233.004349,5809260
2012-05-18,244.899994,251.949997,244.5,250.274994,234.291534,4807208
2012-05-21,250.125,253.925003,246.975006,248.725006,232.840546,4271170
2012-05-22,251.899994,252.5,243.475006,244.625,229.00238,5548406
2012-05-23,245,246.449997,241.100006,243.600006,228.042847,6347944
2012-05-24,246.5,251.350006,242.5,249.850006,233.893692,5769622
2012-05-25,249.899994,251.574997,247.800003,250,234.034103,5597286
2012-05-28,250.600006,255.300003,250,254.375,238.129684,6103426
2012-05-29,255.074997,255.975006,251.050003,252.475006,236.351059,5286512
2012-05-30,250.024994,252.699997,248.274994,250.324997,234.338348,5083640
2012-05-31,248,254.449997,247.675003,253.100006,236.936142,9519560
2012-06-01,252,253.574997,245,245.199997,229.540665,5854374
2012-06-04,244,249.25,242.524994,247.824997,231.997986,5680484
2012-06-05,250,252.449997,249.225006,250.75,234.736206,5355356
2012-06-06,252.425003,261.5,251.75,259.950012,243.348679,12545846
2012-06-07,262.100006,269.75,261.5,268.899994,251.727066,9900246
2012-06-08,270.450012,271.375,265.475006,269.549988,252.335571,9661372
2012-06-11,270.549988,274.450012,269.200012,270.975006,253.669571,6535942
2012-06-12,269.399994,275.424988,268.975006,274.799988,257.250275,5626920
2012-06-13,275.5,276.200012,269.899994,270.875,253.575974,4032366
2012-06-14,270,273.700012,266.325012,267.200012,250.135666,4321276
2012-06-15,267.5,274.850006,267.475006,273.774994,256.29071,4966112
2012-06-18,276,276,264.774994,267.475006,250.393127,5618732
2012-06-19,267.399994,269.5,263.149994,268.225006,251.095215,5930368
2012-06-20,268.5,270.25,264.274994,267.100006,250.042053,4767236
2012-06-21,266.5,272.350006,265.649994,271.450012,254.114212,5326328
2012-06-22,267.549988,272.549988,267.549988,272.174988,254.792908,3084408
2012-06-25,272.700012,274.25,267.5,268.350006,251.212189,3187424
2012-06-26,269,274,268.149994,271.725006,254.371674,2926564
2012-06-27,273,277.350006,273,274.5,256.969482,5968644
2012-06-28,273.450012,276.325012,271.625,274.25,258.762207,6071220
2012-06-29,276.049988,282.450012,276.024994,281.774994,265.862152,6329586
2012-07-02,282,287.5,280,286.975006,270.768585,4100762
2012-07-03,287.950012,290,285.850006,287.924988,271.664886,4233400
2012-07-04,288.350006,290.424988,287.825012,289,272.679169,6405142
2012-07-05,288.950012,292.5,287.725006,292.049988,275.556915,4190764
2012-07-06,291.049988,294.5,289.25,290.75,274.330322,7870760
2012-07-09,289.975006,290.875,284.549988,289.075012,272.749939,3830580
2012-07-10,290,296.149994,288.75,294.325012,277.703491,6771508
2012-07-11,293.450012,296.899994,292.549988,293.5,276.925049,6149722
2012-07-12,291.950012,295.450012,287.799988,290.049988,273.669861,3791874
2012-07-13,292.5,295.700012,291.225006,293.524994,276.948669,4754286
2012-07-16,294,296.350006,290.524994,291.325012,274.872894,6425080
2012-07-17,293.5,294.375,289.299988,291.625,275.155884,4269678
2012-07-18,292.350006,294.350006,290.049988,293.5,276.925049,3558998
2012-07-19,294.299988,295.399994,292.774994,294.700012,278.057281,2400224
2012-07-20,294.5,294.5,290.5,291.299988,274.849304,2084472
2012-07-23,288.700012,290,285.524994,286.5,270.320313,3047264
2012-07-24,286.274994,288.725006,285.100006,287.024994,270.815704,2652794
2012-07-25,287.225006,290.399994,286.850006,288.024994,271.759186,4407852
2012-07-26,289,289.375,281.5,282.899994,266.923645,8852708
