Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
06-04-2021,756,852.700012,743,835.549988,829.737061,64555516,0.9934,0.02,0.874,0.105,0.9957,0.102,0.88,0.017
05-04-2021,731.75,745,715,742.25,737.086182,15622924,0,0,1,0,0.9957,0.099,0.884,0.017
01-04-2021,713.5,742,705,736.25,731.12793,15017049,0.9416,0.028,0.839,0.132,0.9957,0.099,0.884,0.017
25-03-2021,711,712.349976,683.150024,688.25,683.461853,16860086,0.9159,0,0.83,0.17,0.9957,0.099,0.884,0.017
24-03-2021,741,750.5,697.650024,706.849976,701.932434,21213413,0,0,1,0,0.9957,0.099,0.884,0.017
23-03-2021,730.25,755,727.099976,738.549988,733.411926,30612174,0.9796,0.007,0.861,0.132,0.9957,0.095,0.889,0.016
22-03-2021,686,726.25,681,721.900024,716.877747,22864950,0.9543,0,0.855,0.145,0.9957,0.093,0.891,0.016
19-03-2021,677.400024,691.5,657.099976,686.25,681.475769,10373422,0,0,1,0,0.9957,0.093,0.891,0.016
18-03-2021,695,705.5,675.400024,679.650024,674.921692,10925357,0,0,1,0,0.9957,0.093,0.891,0.016
16-03-2021,731.400024,735.700012,714.25,717.349976,712.359375,14979009,0.9231,0,0.906,0.094,0.9957,0.092,0.893,0.015
12-03-2021,749,752.099976,723,728.150024,723.08429,10961076,-0.5719,0.078,0.922,0,0.9957,0.091,0.894,0.015
09-03-2021,755.549988,759.400024,738.650024,750.75,745.527039,8548163,-0.2924,0.083,0.917,0,0.9954,0.089,0.894,0.017
08-03-2021,762.700012,767.799988,744.200012,748.400024,743.19342,15286852,0.9753,0,0.856,0.144,0.9957,0.091,0.892,0.017
05-03-2021,752.450012,761,730.5,748.950012,743.739563,17665200,0.9099,0.028,0.776,0.196,0.9961,0.092,0.891,0.017
04-03-2021,733.25,765.700012,715.849976,752.450012,747.21521,30607959,0.9652,0.001,0.981,0.018,0.9961,0.09,0.894,0.016
03-03-2021,732,754.950012,723.400024,729.849976,724.7724,19961472,0.872,0,0.848,0.152,0.9961,0.089,0.895,0.016
02-03-2021,697.599976,724.700012,696,720.5,715.487488,11486477,0.8712,0.006,0.962,0.033,0.9961,0.089,0.895,0.016
26-02-2021,697.099976,703.450012,668,675.900024,671.197815,19909990,0,0,1,0,0.9961,0.089,0.895,0.016
25-02-2021,669.400024,711.349976,667.150024,704.299988,699.400146,18596690,0.8555,0,0.854,0.146,0.9961,0.089,0.895,0.016
22-02-2021,658.799988,678.5,649,673.799988,669.112366,16739107,0.9375,0.026,0.843,0.131,0.9961,0.089,0.895,0.016
19-02-2021,664.950012,676.650024,628.650024,653.5,648.953613,17553743,0.7065,0,0.705,0.295,0.9961,0.089,0.895,0.016
18-02-2021,660.799988,670,649.049988,664.049988,659.430176,13189027,0,0,1,0,0.9961,0.089,0.895,0.016
17-02-2021,658,670,646.900024,655.75,651.187927,34868085,0.6486,0.008,0.956,0.036,0.9958,0.087,0.894,0.019
16-02-2021,629.799988,643.5,628.049988,636.549988,632.121521,15120148,0,0,1,0,0.9958,0.086,0.895,0.019
15-02-2021,617.950012,639.900024,610.799988,627.75,623.382751,15146033,0.3612,0.01,0.972,0.017,0.9958,0.086,0.895,0.019
12-02-2021,592.299988,621.650024,586.099976,616.599976,612.310303,24953701,-0.6652,0.163,0.759,0.078,0.9958,0.086,0.895,0.019
10-02-2021,584.75,587,550.5,576.849976,572.836853,19987392,0.9328,0.046,0.818,0.136,0.9958,0.086,0.895,0.019
05-02-2021,571,573.950012,561.650024,566.950012,563.005737,5586868,-0.2732,0.062,0.938,0,0.9961,0.087,0.895,0.018
03-02-2021,549.549988,562.299988,542,560.099976,556.203369,7462289,0.368,0,0.949,0.051,0.9961,0.087,0.895,0.018
02-02-2021,548.700012,554.849976,540,550.799988,546.968079,7160471,0,0,1,0,0.9961,0.087,0.895,0.018
01-02-2021,514.299988,545.450012,500.100006,542.75,538.974121,10259084,0.4215,0,0.96,0.04,0.9961,0.087,0.895,0.018
28-01-2021,515.700012,527.950012,507.049988,519.099976,515.488586,5707393,0,0,1,0,0.9962,0.086,0.896,0.018
22-01-2021,549.5,557.5,531.700012,535.799988,532.072449,6843849,0.9952,0.052,0.826,0.122,0.9962,0.084,0.899,0.017
20-01-2021,529,562.5,529,558.599976,554.713806,14440729,0.796,0.02,0.881,0.099,0.9962,0.084,0.899,0.017
14-01-2021,537.950012,542.450012,530.099976,536.950012,533.214478,6066782,-0.9978,0.054,0.934,0.012,0.9962,0.084,0.899,0.017
13-01-2021,515.900024,540,514.599976,536.650024,532.916565,11045555,-0.9874,0.058,0.942,0,0.9962,0.082,0.901,0.017
01-01-2021,485,508,482.549988,503.850006,500.344727,7815730,0.3818,0,0.867,0.133,0.9962,0.082,0.901,0.017
29-12-2020,485,489.850006,478.200012,483.399994,480.036987,5866837,-0.2732,0.062,0.938,0,0.9962,0.082,0.901,0.017
28-12-2020,480,492.950012,480,483.549988,480.185944,8372924,-0.984,0.042,0.951,0.007,0.9962,0.082,0.901,0.017
15-12-2020,469.5,479.649994,461.450012,475.75,472.440216,10973876,0.4588,0,0.903,0.097,0.9962,0.081,0.902,0.017
08-12-2020,472.700012,474.700012,457.549988,463.350006,460.126495,9218366,0.7456,0.026,0.85,0.124,0.9962,0.081,0.902,0.017
07-12-2020,461,474.899994,459,471.5,468.219788,16140936,0.5499,0,0.956,0.044,0.9962,0.081,0.902,0.017
04-12-2020,439.700012,458.299988,439,453.700012,450.54361,10271034,0.7269,0,0.747,0.253,0.9962,0.081,0.902,0.017
27-11-2020,411,416,408.200012,411.549988,408.686829,10593353,0,0,1,0,0.9962,0.081,0.902,0.017
25-11-2020,396.299988,404.700012,384.399994,398.950012,396.17453,18238080,0.9419,0.052,0.806,0.141,0.9962,0.081,0.902,0.017
24-11-2020,378,402,376,392.25,389.521118,19485370,0.9022,0,0.869,0.131,0.9962,0.08,0.903,0.017
17-11-2020,368.5,386.75,366.25,379.649994,377.008759,11192618,0.7213,0.024,0.905,0.071,0.9962,0.08,0.903,0.017
13-11-2020,367.5,370.399994,362.700012,365.5,362.957214,4156320,0,0,1,0,0.9962,0.08,0.903,0.017
04-11-2020,367.649994,369.5,349.600006,361.100006,358.58783,17940352,0.8934,0,0.784,0.216,0.9962,0.079,0.904,0.016
30-10-2020,345.200012,362.700012,343.200012,359.850006,357.346527,12044256,0.9136,0.026,0.77,0.203,0.9967,0.082,0.902,0.016
27-10-2020,360.200012,366.200012,351,364.399994,361.864868,5869559,0,0,1,0,0.9967,0.083,0.899,0.018
08-10-2020,359.799988,362.799988,356.350006,359.75,357.247223,3036028,0,0,1,0,0.9967,0.083,0.899,0.018
06-10-2020,356,364.5,354.850006,362.899994,360.375305,7483578,0.6808,0,0.906,0.094,0.9967,0.083,0.899,0.018
01-09-2020,357,365.350006,341.399994,348.799988,346.373383,6726316,0,0,1,0,0.9967,0.082,0.901,0.017
31-08-2020,365,378.350006,352,355.75,353.275055,19379155,0.9081,0.019,0.841,0.139,0.9967,0.081,0.902,0.017
28-08-2020,355,363,348.5,360.049988,357.545135,5406394,0.3182,0.055,0.873,0.071,0.9967,0.081,0.902,0.017
26-08-2020,346.350006,366.899994,346.350006,354.25,351.785492,11568355,0.9274,0,0.791,0.209,0.9971,0.084,0.899,0.017
24-08-2020,358.399994,363.299988,347.600006,349,346.572021,3488987,0.5267,0,0.694,0.306,0.9971,0.084,0.899,0.017
13-08-2020,343.549988,348.950012,341.75,347.649994,345.231384,2707033,0.34,0,0.821,0.179,0.9971,0.084,0.9,0.017
12-08-2020,336,347.75,331.75,341.200012,338.826294,10674205,0.9936,0.019,0.765,0.216,0.9971,0.082,0.902,0.016
05-08-2020,316.399994,328.799988,313.399994,327.100006,324.824371,8387003,0.5423,0,0.894,0.106,0.9971,0.081,0.903,0.016
30-07-2020,317.850006,321.75,310.100006,312.5,310.325928,2498353,-0.0258,0.174,0.695,0.131,0.9971,0.081,0.903,0.016
15-07-2020,320.549988,324.5,312.899994,315.149994,312.957489,3905249,0.9694,0,0.745,0.255,0.9976,0.085,0.899,0.016
