Date,Open,High,Low,Close,Adj Close,Volume,Comp_News,Neg_News,Neu_News,Pos_News,Comp_Social,Neg_Social,Neu_Social,Pos_Social
30-07-2020,962,972.650024,958.75,961.450012,932.809265,12492320,0.9999,0.018,0.872,0.11,0.9494,0.045,0.828,0.127
27-07-2020,921.549988,952.799988,918.650024,948.450012,920.196533,16827870,0.9999,0.018,0.871,0.111,0.9744,0.07,0.791,0.139
24-07-2020,903.25,925.75,903.25,922.849976,895.359131,18209580,0.9999,0.018,0.871,0.111,0.9546,0.005,0.899,0.096
23-07-2020,915.650024,915.799988,900.650024,907.950012,880.902954,13051307,0.9999,0.018,0.87,0.112,0.8271,0,0.821,0.179
22-07-2020,938.950012,939,910,917.900024,890.556641,14354201,0.9999,0.018,0.87,0.112,0.7546,0.092,0.788,0.119
21-07-2020,945,949.700012,929.200012,936.75,908.845032,12877784,0.9999,0.018,0.87,0.112,-0.3301,0.061,0.889,0.05
20-07-2020,908.5,945,906.75,934.299988,906.468018,18421053,0.9999,0.018,0.87,0.113,0.9885,0,0.868,0.132
17-07-2020,911,919.900024,892.150024,903.150024,876.245972,31682878,0.9999,0.018,0.868,0.113,0.9382,0.011,0.913,0.077
16-07-2020,900.099976,955.5,894.25,911,883.862122,90432109,0.9999,0.018,0.864,0.118,0.9985,0.055,0.803,0.142
15-07-2020,799,848.450012,794.799988,830.950012,806.196777,30060599,0.9999,0.018,0.862,0.121,0.9953,0.033,0.852,0.115
14-07-2020,792.950012,806.400024,781.349976,783.25,759.917664,8961822,0.9999,0.018,0.861,0.121,0.8591,0.016,0.916,0.068
13-07-2020,788,805.349976,786.049988,797.049988,773.30658,10804688,0.9999,0.018,0.861,0.121,0.7096,0,0.809,0.191
10-07-2020,773.5,789.900024,773.5,781.849976,758.559387,5206452,0.9999,0.018,0.861,0.121,0.8225,0,0.798,0.202
08-07-2020,784.900024,784.900024,772.200012,774.700012,751.622375,8476642,0.9999,0.018,0.861,0.121,0.8402,0,0.891,0.109
07-07-2020,769.400024,796.950012,765.549988,794.150024,770.492981,19362533,0.9999,0.017,0.86,0.122,0.3182,0.061,0.84,0.099
06-07-2020,765.200012,775,761.5,764,741.241089,8810958,0.9999,0.017,0.861,0.122,0.296,0,0.948,0.052
03-07-2020,755,764,752.5,762.700012,739.979919,7796572,0.9999,0.017,0.861,0.122,0.3612,0,0.863,0.137
02-07-2020,737.349976,765.450012,735.400024,756.599976,734.061523,17263756,0.9999,0.017,0.861,0.122,0.0258,0.031,0.937,0.032
01-07-2020,737.25,742.299988,729.75,731.900024,710.097351,5477468,0.9999,0.017,0.861,0.122,0.9432,0,0.886,0.114
29-06-2020,735.400024,744.700012,730.099976,731.75,709.951843,8954428,0.9999,0.018,0.861,0.121,0.0772,0.067,0.841,0.092
26-06-2020,710.200012,751.599976,710,748.200012,725.911804,26030458,0.9999,0.019,0.859,0.122,0.9714,0.021,0.883,0.096
25-06-2020,704.849976,705.599976,693.5,700.5,679.632751,14945284,0.9999,0.019,0.858,0.123,-0.5267,0.091,0.909,0
23-06-2020,695.700012,724.5,692.099976,720.650024,699.182495,12157390,0.9999,0.019,0.859,0.122,0.4215,0,0.963,0.037
19-06-2020,709,711.900024,701,705.549988,684.532288,22438862,0.9999,0.019,0.858,0.123,0.9413,0,0.816,0.184
17-06-2020,699.900024,710.299988,698,703.650024,682.688904,7291916,0.9999,0.019,0.858,0.123,-0.7003,0.177,0.823,0
16-06-2020,702,712,699.150024,701.200012,680.31189,10131760,0.9999,0.019,0.857,0.124,0.7717,0,0.815,0.185
15-06-2020,693,704.400024,685.25,687.549988,667.068542,7857344,0.9999,0.019,0.857,0.124,0.9686,0,0.696,0.304
11-06-2020,712,713.400024,700.25,703.950012,682.979919,8825715,0.9999,0.019,0.854,0.127,0.0772,0.068,0.842,0.09
08-06-2020,707.650024,725.799988,704,720.849976,699.376526,10719105,0.9999,0.019,0.855,0.126,0.2023,0.041,0.902,0.057
05-06-2020,707,711.700012,700.599976,703.549988,682.591858,7718679,0.9999,0.019,0.855,0.126,-0.4678,0.121,0.814,0.065
04-06-2020,702,709.450012,697.5,707.75,686.666748,10782424,0.9999,0.019,0.855,0.127,0.2732,0,0.957,0.043
29-05-2020,692.5,700.799988,674.950012,691,670.41571,28290128,0.9999,0.021,0.854,0.126,0.6486,0,0.85,0.15
27-05-2020,686.049988,709.200012,675,705.450012,675.243713,8774636,0.9999,0.02,0.853,0.127,0,0,1,0
26-05-2020,693,699.450012,679,680.549988,651.409851,7099606,0.9999,0.02,0.853,0.127,0,0,1,0
22-05-2020,675,695.849976,673.5,692.349976,662.704529,11867731,0.9999,0.02,0.852,0.127,0.7184,0,0.887,0.113
21-05-2020,666.5,679.450012,665.400024,672.200012,643.417358,7213225,0.9999,0.02,0.852,0.127,0.3182,0.104,0.772,0.124
20-05-2020,668.5,673,659.650024,669.549988,640.880859,5794636,0.9999,0.02,0.852,0.127,0.3182,0.047,0.847,0.106
18-05-2020,659.849976,670.549988,653,663.900024,635.472778,10435442,0.9999,0.02,0.852,0.127,0.8225,0,0.802,0.198
14-05-2020,659,671.75,652.599976,658.150024,629.969055,16888262,0.9999,0.02,0.851,0.128,0.7311,0.028,0.881,0.091
11-05-2020,682.5,698.549988,678,682.900024,653.659302,7370186,0.9999,0.021,0.85,0.129,0,0,1,0
07-05-2020,665.549988,674.349976,662.450012,664.950012,636.477844,4779548,0.9999,0.022,0.85,0.128,0.4019,0,0.856,0.144
06-05-2020,676.900024,681.450012,664.049988,665.900024,637.387146,7934250,0.9999,0.022,0.85,0.128,0,0,1,0
30-04-2020,700,720,698.099976,715.5,684.863342,16253821,0.9999,0.022,0.85,0.128,0.9119,0.021,0.822,0.157
27-04-2020,661.049988,681,661.049988,664.599976,636.142761,7183306,0.9999,0.022,0.851,0.127,0.8402,0,0.852,0.148
24-04-2020,668.549988,675,654.799988,658,629.825378,7319940,0.9999,0.022,0.851,0.127,0.7845,0,0.862,0.138
23-04-2020,647.049988,683.650024,638.099976,679.299988,650.213379,14451289,0.9999,0.022,0.851,0.127,-0.5574,0.213,0.787,0
21-04-2020,627.799988,646.5,627.799988,633.200012,606.087341,11660575,0.9999,0.021,0.852,0.127,0.8294,0.029,0.855,0.117
20-04-2020,640,661,639,653.299988,625.326721,13322913,1,0.023,0.848,0.129,0.783,0.066,0.827,0.108
17-04-2020,644,646,626,628.75,601.82782,8878320,1,0.023,0.848,0.129,0.296,0,0.925,0.075
13-04-2020,629,651.700012,626.049988,637.400024,610.107483,8330276,1,0.023,0.848,0.129,0.296,0,0.925,0.075
09-04-2020,646.799988,652.799988,632.099976,636.25,609.006714,11931114,1,0.023,0.848,0.129,0,0,1,0
08-04-2020,630,655.650024,626.349976,631.599976,604.555847,11806896,1,0.023,0.848,0.129,0.8225,0,0.723,0.277
07-04-2020,615,644.25,612.900024,639,611.638916,15145605,1,0.023,0.848,0.129,0.9074,0.019,0.874,0.107
01-04-2020,634.349976,637.5,594,602.799988,576.989014,13083824,1,0.023,0.849,0.128,0.979,0.01,0.847,0.144
31-03-2020,650,662,633.700012,641.5,614.031921,15175521,1,0.023,0.849,0.128,-0.4939,0.11,0.89,0
30-03-2020,625.099976,663.5,621.099976,626.700012,599.865601,14624804,1,0.023,0.848,0.129,0,0,1,0
27-03-2020,665.049988,674.900024,642.25,652.700012,624.75238,13495283,1,0.023,0.849,0.129,-0.0772,0.084,0.838,0.078
26-03-2020,615,650.849976,612.099976,643,615.467712,14843813,1,0.023,0.849,0.129,0,0,1,0
25-03-2020,597,635,565.700012,606.200012,580.243408,18339548,1,0.023,0.849,0.129,0.807,0,0.863,0.137
24-03-2020,522,601.150024,522,589.799988,564.545654,20027097,1,0.022,0.848,0.129,0.9638,0.023,0.733,0.244
23-03-2020,540,560.950012,515.900024,526.450012,503.908203,17146150,1,0.022,0.848,0.129,0.8882,0,0.874,0.126
20-03-2020,549.5,617.450012,548,585.200012,560.142639,21354894,1,0.022,0.848,0.129,0.8271,0,0.873,0.127
19-03-2020,509.25,558,509.25,545.549988,522.190369,16583991,1,0.022,0.849,0.129,0.9766,0,0.666,0.334
18-03-2020,568,578,528,534.299988,511.422058,15390183,1,0.022,0.849,0.129,0.9804,0.07,0.755,0.175
17-03-2020,588.099976,592,550,554.950012,531.187805,16059887,1,0.022,0.849,0.129,0.9575,0.084,0.665,0.251
16-03-2020,622,622.150024,580,583.150024,558.18042,19140152,1,0.022,0.849,0.129,0.0258,0,0.916,0.084
13-03-2020,592,667,570,642.349976,614.84552,16903113,1,0.023,0.849,0.128,-0.4678,0.212,0.623,0.166
11-03-2020,690.650024,695.950012,669.049988,686,656.626526,16165009,1,0.024,0.848,0.128,0.6808,0,0.823,0.177
09-03-2020,724.5,725.849976,697,704.450012,674.286499,10308654,1,0.025,0.847,0.128,0.8346,0.086,0.579,0.335
06-03-2020,741,744,729.099976,738.950012,707.309204,9216022,1,0.025,0.848,0.128,0.5574,0,0.899,0.101
04-03-2020,753.900024,761.5,745.549988,758.75,726.261475,11013444,1,0.025,0.848,0.127,0.34,0,0.789,0.211
03-03-2020,755,759,741.25,747,715.014587,7826587,1,0.025,0.848,0.128,0.972,0,0.793,0.207
02-03-2020,737,765.900024,733.75,741.049988,709.319336,9821523,1,0.025,0.848,0.127,0.457,0.061,0.836,0.104
28-02-2020,750,756.799988,722.049988,731.700012,700.369751,14123957,1,0.024,0.848,0.128,-0.4865,0.081,0.919,0
24-02-2020,800.099976,811.599976,792.150024,795.849976,761.772888,6627536,1,0.024,0.846,0.129,-0.9266,0.18,0.82,0
20-02-2020,803.25,806.099976,793.849976,797,762.873596,4564569,1,0.024,0.847,0.129,0.9062,0,0.678,0.322
19-02-2020,800,804.849976,796.150024,800.450012,766.175903,3985192,1,0.024,0.846,0.13,0,0,1,0
18-02-2020,785,799.049988,783.650024,797.650024,763.49585,5083346,1,0.024,0.846,0.13,-0.5106,0.102,0.898,0
17-02-2020,790.299988,793.450012,783.299988,789.450012,755.646912,2929629,1,0.024,0.846,0.13,0.5859,0,0.893,0.107
13-02-2020,785,794,782.200012,792.25,758.327026,4387430,1,0.024,0.846,0.13,0.8555,0,0.79,0.21
10-02-2020,774,778,769.75,773.200012,740.092712,3827682,1,0.024,0.848,0.128,0.6808,0.023,0.889,0.088
07-02-2020,775.950012,778.849976,771,777.299988,744.017151,2853344,1,0.024,0.848,0.128,0,0,1,0
31-01-2020,780.549988,784.950012,771.599976,775.950012,742.724976,6092028,1,0.024,0.848,0.128,-0.128,0.07,0.93,0
24-01-2020,775.75,786.5,773.599976,782.75,749.233765,7540490,1,0.024,0.847,0.129,-0.0258,0.051,0.901,0.048
23-01-2020,777.099976,785.5,776.700012,784.349976,750.76532,12528017,1,0.024,0.847,0.129,0.2023,0.138,0.704,0.158
22-01-2020,768.450012,778,766,770.200012,737.221252,9733935,1,0.024,0.847,0.129,0.7184,0,0.9,0.1
21-01-2020,768.450012,770.5,760.75,762.5,729.850891,4448374,1,0.024,0.847,0.129,0.6369,0,0.87,0.13
17-01-2020,770.700012,772.900024,762.25,767.849976,734.971741,3762957,1,0.024,0.846,0.13,0.6808,0.034,0.852,0.114
16-01-2020,770.700012,772.5,760.25,767,734.158203,5740586,1,0.024,0.846,0.13,0.7876,0,0.838,0.162
14-01-2020,769.950012,776.950012,767.200012,775.650024,742.437805,11414418,1,0.023,0.847,0.13,0.6705,0,0.897,0.103
13-01-2020,760,777.5,755,773.549988,740.427734,36952038,1,0.024,0.845,0.131,0.9862,0.039,0.81,0.151
